id,businessName,website,address,address2,city,state,postal,country,Telephone,Fax,longitude,latitude,email,
, BEDWORKS-Waterworks,http://www.thebedworksofmaine.com,270 State Street,,Brewer,ME,4412,,207-989-1515,207-989-1300,,,info@thebedworksofmaine.com,
,AB Futon,,181 Rt 22 East,,Green Brook,NJ,8812,,732-926-1123,732-926-1125,,,,
,Albees,http://www.albeebaby.com,715 Amsterdam Ave,,New York,NY,10025,,212-662-5740,212-316-4140,,,,
,Albrights Furniture,http://www.albrightsfloorcovering.com,220 Athens Highway,,Loganville,GA,30052,,770-466-1005,770-466-4933,,,,
,Alex's Furniture,http://www.alexshomefurnishings.com,19156 McGuire Road,,Perris,CA,92570,,909-730-2089,951-789-6294,,,,
,All About Kids Youth Furniture Inc.,http://www.allaboutkidsfurniture.com,3043 Washington Rd.,,McMurray,PA,15317,,724-942-4988,724-942-0584,,,,
,Baby & Beyond DBA USA Baby,,2615 George Busbee Parkway-Suite 9,,Kennesaw,GA,30144,,770-792-3942,678-550-9970,,,,
,Baby & Company,,1948 Washington Valley Road,,Martinsville,NJ,8836,,732-560-7272,732-560-8668,,,,
,Baby 2 Teen Furniture,http://www.baby2teenfurniture.com,8612 Phoenix Drive,,Manassas,VA,20110,,703-369-0299,703-369-5002,,,b2teen@patriot.net,
,Baby 2 Teen Furniture,,1340 Central Park Blvd  Suite 102,,Fredericksburg,VA,22401,,540-548-4343,540-548-4345,,,,
,Baby Basics,http://www.babybasics.com,1400-A Reisterstown Rd.,,Pikesville,MD,21208,,410-486-4100,410-486-2344,,,sales@babybasics.com,
,Baby Furniture & More,http://www.bfandm.com,812 S Cashua Drive                     Suite D,,Florence,SC,29501,,843-661-5511,843-661-6644,,,,
,Baby Furniture Plus Kids,http://www.babyfurniturepluskids.net,116 Decker Park Road,,Columbia,SC,29206,,803-788-5880,803-788-1270,,,,
,Baby Land Inc,http://www.babylandpa.com,5542 Penn Avenue,,Pittsburg,PA,15206,,412-362-1222,412-362-1223,,,info@babylandpa.com,
,Baby Phases,http://www.babyphases.com,3715 MacCorkle Ave SE,,Charleston,WV,25304,,304-926-6050,304-926-6051,,,,
,Baby Super & Rocker World,http://www.babysuper.com,1523 Parkmoor Avenue,,San Jose,CA,95128,,408-293-0358,408-291-5583,,,info@babysuper.net,
,Baby Supermart,,489 Parkway,,Broomall,PA,19008,,610-544-1107,610-544-2429,,,,
,"Baby World, Inc.",http://www.brooklynbabyworld.com,7302 15th Avenue,,Brooklyn,NY,11228,,718-331-9498,718-234-1685,,,babyworldny@aol.com,
,Babyland & Kids Rooms,http://www.babylandkc.com,318 W 79th Street,,Kansas City,MO,64114,,816-523-2229,816-361-8561,,,babylandkc@kc.rr.com,
,"Baby's Room, Inc.",http://www.babysroomky.com,2520 Nicholasville Rd.,,Lexington,KY,40503,,859-276-4955,859-276-2954,,,info@babysroomky.com,
,Beautiful Bedrooms,http://www.beautifulbedroomsva.com,1060 W. Mercury Blvd,,Hampton ,VA,23666,,757-838-5470,757-838-8895,,,,
,Bedding Shoppe,http://www.beddingshoppe.com,811 Route 46 East,,Parsippany,NJ,7054,,973-334-9000,973-335-7789,,,beddingshoppe@optonline.net,
,Bedknobs & Broomsticks,http://www.bedknobsandbroomsticks.com,120 Central Avenue,,Hot Springs National Park,AR,71901,,501-609-9020,501-609-9028,,,,
,Bedroom Gallery,,1719 Rt 9 North,,Howell,NJ,7731,,732-845-9988,732-843-0077,,,,
,Bedroom Showcase,http://www.bedroom-showcase.com,111 Park Hills Plaza,,Altoona,PA,16602,,814-942-2142,814-942-4596,,,,
,Bedroom Source,,230 Glen Cove Road,,Carle Place,NY,11514,,,,,,,
,Bedroom Source,http://www.thebedroomsource.com,41 East Sunrise Hwy.,,Lindenhurst,NY,11757,,"631-888-0971,  631-893-2424",631-893-2411,,,mail@bedroomsource.com,
,Bedroom World,http://www.bedroomworld.com,848 RT 70,,Brick,NJ,8701,,732-206-9777,732-363-3791,,,info@bedroomworld.com,
,Bedrooms Unlimited,http://www.bedroomsunlimited.com,2431 Crofton Lane,,Crofton,MD,21114,,410-451-8744,410-451-8746,,,info@bedroomsunlimited.com,
,Bedrooms Unlimited,,2510 Rt 22 East,,Union,NJ,7083,,908-851-0041,908-686-4154,,,,
,Beds & Billiards,,519 Salt Tide Way,,St. Augustine,FL,32080,,904-687-4402,904-461-7265,,,,
,Beds Bunks & Lofts,http://www.bedsbunksandlofts.com,2190 Berlin Turnpike,,Newington,CT,6111,,860-436-6530,860-436-6531,,,sales@bedsbunksandlofts.com,
,Behr's Superstore,http://www.behrsfurniture.com,1220 Hicksville Road,,Seaford,NY,11783,,516-541-3600,516-541-2353,,,behrsfurniture@optonline.net,
,Bergs Baby & Teen Furniture,http://www.bergsbaby.com,27565 Chardon Road,,Willoughby Hills,OH,44092,,440-585-2374,440-516-0294,,,bergbaby@aol.com,
,Big's Bedrooms,,42 Rt 17 N,,Paramus,NJ,7652,,,,,,,
,Big's Bedrooms,http://www.bigsbedrooms.com,1966 Central Avenue,,Yonkers,NY,10710,,914-378-1360 ,914-779-1542,,,thinkbigs2@aol.com,
,Blacks Furniture,http://www.blacksfurniture.com,300 NC Highway 68 South,,Greensboro,NC,27409,,336-886-5011,336-886-4734,,,blacks@blacksfurniture.com,
,Brauns Juvenile Furniture,,58 Route 59,,Monsey,NY,10952,,845-425-7444,845-425-5728,,,,
,Brook House Furniture,http://www.bhfurn.com,3144 Third Avenue,,Bronx,NY,10451,,718-585-7900,718-585-7307,,,,
